x,y
264.079773,1.967183
266.079773,1.967397
268.079773,1.967610
270.079773,1.967824
272.079773,1.968037
274.079773,1.968251
276.079773,1.968464
278.079773,1.968678
280.079773,1.968891
282.079773,1.969105
284.079773,1.969318
286.079773,1.969531
288.079773,1.969745
290.079773,1.969958
292.078949,1.970855
294.078949,1.971918
296.078949,1.972980
298.078949,1.974043
300.078949,1.975105
302.078949,1.976167
304.078949,1.977230
306.078949,1.978292
308.078949,1.979355
310.078949,1.980417
312.078949,1.981480
314.078949,1.982542
316.078949,1.983605
318.078949,1.984667
320.078949,1.985730
322.078949,1.986792
325.628937,1.988678
325.628937,1.988678
327.628937,1.989740
329.456360,2.013044
330.922119,2.326692
332.265717,2.991321
333.401245,3.963274
334.246704,5.178978
334.754578,6.569934
334.895020,8.115716
334.893402,10.788790
334.893402,10.788790
334.892181,12.788790
334.890991,14.788789
334.889771,16.788790
334.888580,18.788790
334.887360,20.788790
334.886139,22.788790
334.884949,24.788788
334.883728,26.788788
334.882538,28.788786
334.881317,30.788786
334.880127,32.788784
334.878906,34.788784
334.877686,36.788784
334.876495,38.788784
334.875275,40.788784
334.874084,42.788784
334.871887,46.418781
334.871887,46.418781
334.870667,48.418781
334.869446,50.418781
334.868256,52.418781
334.867035,54.418781
334.865845,56.418781
334.864624,58.418781
334.863434,60.418781
334.862213,62.418781
334.860992,64.418785
334.859802,66.418785
334.858215,69.028786
334.858215,69.028786
334.856995,71.028786
334.855804,73.028786
334.854584,75.028786
334.853394,77.028786
334.852173,79.028786
334.850952,81.028786
334.849762,83.028786
334.848541,85.028786
334.847351,87.028778
334.846130,89.028778
334.844940,91.028778
334.843719,93.028778
334.842499,95.028778
334.841309,97.028778
334.840088,99.028778
334.838898,101.028778
334.837677,103.028778
334.836456,105.028778
334.835266,107.028778
334.834045,109.028778
334.832855,111.028778
334.831635,113.028778
334.830444,115.028778
334.829224,117.028778
334.827087,120.578773
334.827087,120.578773
334.825867,122.578773
334.824677,124.578773
334.823456,126.578773
334.822266,128.578766
334.821045,130.578766
334.819824,132.578766
334.818634,134.578766
334.817413,136.578766
334.816223,138.578766
334.815002,140.578766
334.813141,143.668762
334.813141,143.668762
334.811920,145.668762
334.810730,147.668762
334.809509,149.668762
334.808319,151.668762
334.807098,153.668762
334.805878,155.668762
334.804688,157.668762
334.803467,159.668762
334.802277,161.668762
334.801056,163.668762
334.799866,165.668762
334.798645,167.668762
334.797424,169.668762
334.796234,171.668762
334.795013,173.668762
334.793823,175.668762
334.792603,177.668747
334.791382,179.668747
334.790192,181.668747
334.787781,185.648758
