Waypoint(Transform(Location(x=4.721293, y=-68.908348, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.770630, y=-70.907738, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.819967, y=-72.907127, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.869304, y=-74.906517, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.918641, y=-76.905907, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=4.967978, y=-78.905304, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.017314, y=-80.904694, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.066651, y=-82.904091, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.115988, y=-84.903481, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.165325, y=-86.902870, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.214662, y=-88.902260, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.263999, y=-90.901649, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.313335, y=-92.901039, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.362672, y=-94.900429, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.412009, y=-96.899826, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.461346, y=-98.899216, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.510683, y=-100.898613, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.560020, y=-102.898003, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.609357, y=-104.897392, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.658693, y=-106.896782, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.708030, y=-108.896172, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.757367, y=-110.895561, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.806704, y=-112.894958, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.856041, y=-114.894348, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.905378, y=-116.893738, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.954714, y=-118.893127, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=6.004052, y=-120.892525, z=0.000000), Rotation(pitch=0.000000, yaw=-88.586456, roll=0.000000)))
Waypoint(Transform(Location(x=6.076330, y=-123.821632, z=0.000000), Rotation(pitch=0.000000, yaw=-448.586456, roll=0.000000)))
Waypoint(Transform(Location(x=6.076330, y=-123.821632, z=0.000000), Rotation(pitch=0.000000, yaw=-448.586456, roll=0.000000)))
Waypoint(Transform(Location(x=6.125667, y=-125.821030, z=0.000000), Rotation(pitch=0.000000, yaw=-448.586456, roll=0.000000)))
Waypoint(Transform(Location(x=5.998896, y=-128.143295, z=0.000000), Rotation(pitch=0.000000, yaw=-99.391411, roll=0.000000)))
Waypoint(Transform(Location(x=5.336068, y=-130.450165, z=0.000000), Rotation(pitch=0.000000, yaw=-112.670303, roll=0.000000)))
Waypoint(Transform(Location(x=4.161096, y=-132.543106, z=0.000000), Rotation(pitch=0.000000, yaw=-125.949188, roll=0.000000)))
Waypoint(Transform(Location(x=2.536808, y=-134.310196, z=0.000000), Rotation(pitch=0.000000, yaw=-139.228088, roll=0.000000)))
Waypoint(Transform(Location(x=0.550060, y=-135.656982, z=0.000000), Rotation(pitch=0.000000, yaw=-152.506973, roll=0.000000)))
Waypoint(Transform(Location(x=-1.428718, y=-136.548340, z=0.000000), Rotation(pitch=0.000000, yaw=-158.104233, roll=0.000000)))
Waypoint(Transform(Location(x=-3.440973, y=-137.266815, z=0.000000), Rotation(pitch=0.000000, yaw=-162.597031, roll=0.000000)))
Waypoint(Transform(Location(x=-5.503325, y=-137.825470, z=0.000000), Rotation(pitch=0.000000, yaw=-167.089828, roll=0.000000)))
Waypoint(Transform(Location(x=-7.603102, y=-138.220856, z=0.000000), Rotation(pitch=0.000000, yaw=-171.582642, roll=0.000000)))
Waypoint(Transform(Location(x=-9.727399, y=-138.450531, z=0.000000), Rotation(pitch=0.000000, yaw=-176.075439, roll=0.000000)))
Waypoint(Transform(Location(x=-13.361156, y=-138.558578, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-13.361156, y=-138.558578, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-15.360697, y=-138.601410, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-17.360237, y=-138.644257, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-19.359779, y=-138.687088, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-21.359320, y=-138.729919, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-23.358862, y=-138.772766, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-25.358404, y=-138.815598, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-27.357943, y=-138.858429, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-29.357485, y=-138.901276, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-31.357027, y=-138.944107, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-33.356567, y=-138.986938, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-35.356106, y=-139.029770, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
Waypoint(Transform(Location(x=-37.355648, y=-139.072617, z=0.000000), Rotation(pitch=0.000000, yaw=-178.772736, roll=0.000000)))
